stream,electro_site,BULL,BRK,BULL_BRK,WCT,LL,ID_Tag,eDNA_ID,BUT1_Wells,BRK2_Wells,BRK2_Quant
Ross Fork,RM 11.5,8,1,0,29,3,101332,17010202-227-4,3,3,11.08426667
Ross Fork,RM 14.6,3,1,0,19,0,101327,17010202-218-1,3,3,2.746433333
Moose Meadows,RM 0.2,2,68,0,27,0,101273,17010202-209-1,3,3,461.0846333
Moose Meadows,RM 2.8,0,16,0,1,0,101271,17010202-186-1,0,3,28.68953333
Elk Creek,RM 2.9,0,0,0,28,0,101277,17010202-244-2,0,3,225.6476333
Middle Fork,RM 17.4,9,4,0,17,2,101229,17010202-40-1,3,3,2.135633333
NF Lower Willow,RM 4.7,0,1,0,142,0,100951,17010202-947-1,0,3,22.626003
Senia,RM 2.3,0,0,0,5,0,100956,17010202-913-4,0,0,0
SF Lower Willow,RM 10.7,0,0,0,94,0,100945,17010202-653-1,0,0,0
Copper,RM 1.4,0,0,0,68,0,101373,17010202-781-3,0,0,0
Boulder,RM 2.5,2,0,0,32,34,101106,17010202-633-5,3,1,0.888385
Boulder,RM 7.7,21,0,0,10,0,101103,17010202-565-2,3,3,4.100867
Boulder,RM 9.6,14,0,0,9,0,101099,17010202-514-1,3,0,0
SF Boulder,RM 1.0,2,0,0,50,0,101100,17010202-522-1,3,0,0
SF Boulder,RM 2.1,2,0,0,38,0,101101,17010202-522-3,3,0,0
Wymann Gulch,RM 0.3,2,0,0,31,0,101117,17010202-548-1,3,0,0
Copper (Boulder),RM 0.8,0,41,0,5,0,101471,17010202-501-1,0,3,31.5427
Copper (Boulder),RM 2.8,0,127,0,9,0,101474,17010202-501-4,0,3,145.6854333
Little Blackfoot,RM 40.1,0,40,0,46,5,100226,17010201-741-1,2,3,28.314081
Spotted Dog,RM 11.3,0,3,0,11,0,100708,17010201-792-1,0,3,72.214333
Carpenter,RM 6.0,0,0,0,10,0,100311,17010201-1305-1,0,0,0
Ophir,RM 5.1,0,40,0,70,0,100115,17010201-1335-2,0,3,119.301173
Snowshoe,RM 9.2,0,0,0,18,16,100112,17010201-1300-1,0,0,0
Dog,RM 13.8,0,0,0,30,2,100304,17010201-1286-1,0,0,0
Dog,RM 10.5,0,0,0,17,42,100117,17010201-1239-1,0,0,0
Telegraph,RM 3.6,0,30,0,27,0,100127,17010201-830-1,0,3,28.457851
Telegraph,RM 4.9,0,50,0,18,0,100128,17010201-830-2,0,3,31.240535
Telegraph,RM 6.7,0,0,0,0,0,100320,17010201-777-2,0,0,0
Ontario,RM 2.9,0,32,0,57,0,100302,17010201-774-5,0,3,39.858006
Warm Springs,RM 18.6,11,3,0,153,8,100684,17010201-533-4,3,3,1.235085
Warm Springs,RM 27.4,12,9,1,8,0,100402,17010201-632-1,2,3,2.350679
Warm Springs,RM 29.1,1,0,0,7,0,100403,17010201-642-3,1,0,0
WF Warm Springs,RM 1.0,41,0,0,30,0,100405,17010201-673-2,2,0,0
MF Warm Springs,RM 0.4,0,0,0,57,0,100396,17010201-683-1,3,0,0
EF Warm Springs,RM 0.5,0,0,0,0,0,100394,17010201-678-1,0,0,0
Barker,RM 1.6,13,0,0,4,0,100492,17010201-513-3,3,0,0
Barker,RM 2.9,26,0,0,9,0,100490,17010201-494-2,3,0,0
Foster,RM 1.1,0,18,1,55,0,100333,17010201-596-3,1,1,0.63121
Foster,RM 2.3,1,36,0,18,0,100334,17010201-596-4,3,3,62.536624
Foster,RM 3.9,0,2,0,59,0,100337,17010201-596-7,0,2,5.436984
Twin Lakes,RM 1.4,4,6,0,9,0,100477,17010201-495-3,3,3,44.193447
Twin Lakes,RM 2.8,0,20,0,16,0,100479,17010201-495-5,3,3,12.862052
Twin Lakes,RM 4.7,0,18,0,11,0,100482,17010201-495-8,3,3,10.681898
Twin Lakes,RM 7.2,0,11,0,7,0,100505,17010201-471-2,0,3,9.733502
Storm Lake,RM 1.4,1,17,0,13,0,100966,17010202-106-3,3,3,20.476775
Storm Lake,RM 3.0,3,10,1,19,0,100968,17010202-106-5,3,3,1.603083
Storm Lake,RM 4.2,6,5,0,26,0,100970,17010202-106-7,3,3,3.855945
Storm Lake,RM 6.3,11,2,0,28,0,100974,17010202-106-11,3,2,1.474233
